procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 146728  68568   1528  53980   49   67    86    77  189  387  5  1 94  0  0
 2  0 146728  68568   1528  53980   20    0    52     0 1724 2745 88 12  0  0  0
 2  0 146728  68568   1528  53980   52    0   156     0 1324 1369 91  9  0  0  0
 6  0 146728  68568   1528  53980   44    0   380     8 1038 1062 89 11  0  0  0
 5  0 146728  68568   1528  53980   28 2332    28  2364  996  711 93  7  0  0  0
 2  0 146728  68568   1528  53980 1496 6420 11592  6468 1654 1737 88 12  0  0  0
 2  0 146728  68568   1528  53980    0    0     0     0 1142 1216 90 10  0  0  0
 2  0 146728  68568   1528  53980   16    0    16     0 1138 1577 93  7  0  0  0
 2  0 146728  68568   1528  53980   36    0   776     0 1203 2037 94  6  0  0  0
 6  0 146728  68568   1528  53980    0    0   660    44  966 1319 93  7  0  0  0
 2  0 146728  68568   1528  53980    8    0     8     0  897 1296 94  6  0  0  0
 2  0 146728  68568   1528  53980   32    0  2008     0 1138 2274 94  6  0  0  0
MEDIA
NR:  14 CPU:  92.1667
