procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  31660  62016  27224 197872    1    3    19     9  117  227  1  0 99  0  0
 2  0  31660  62016  27224 197872   16    0    16    56  695 1718 33  8 59  0  0
 1  0  31660  62016  27224 197872    0    0     0     0  731 2017 46  4 50  0  0
 1  0  31660  62016  27224 197872    0    0     0     0  631 1840 25  2 73  0  0
 1  0  31660  62016  27224 197872    0    0     0     0  695 2067 25  8 67  0  0
 1  0  31660  62016  27224 197872    0    0     0     0  675 2014 23  5 72  0  0
 1  0  31660  62016  27224 197872    0    0     0    12  648 1933 26  5 69  0  0
 2  0  31660  62016  27224 197872    0    0     0     0  651 1824 26  3 71  0  0
 2  0  31660  62016  27224 197872    0    0     0     0  651 1866 22  4 74  0  0
 2  0  31660  62016  27224 197872    0    0     0     0  647 1856 20  8 72  0  0
 5  0  31660  62016  27224 197872    0    0     0     0  711 2212 32  8 60  0  0
 1  0  31660  62016  27224 197872    0    0     0    12  659 1883 24  7 69  0  0
MEDIA
NR:  14 CPU:  30.4167
