procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  45060  70504  19768 146600    1    4    19    10  125  250  1  0 99  0  0
 1  0  45060  70504  19768 146600  192    0   192     0 1126 3052 37 10 53  0  0
 2  0  45060  70504  19768 146600    0    0     0     0 1022 3127 35 10 55  0  0
 2  0  45060  70504  19768 146600    0    0     0     0 1041 3440 39 10 51  0  0
 4  0  45060  70504  19768 146600    0    0     0    32 1004 3402 34 12 54  0  0
 1  0  45060  70504  19768 146600    0    0     0     0 1054 3530 36 13 52  0  0
 6  0  45060  70504  19768 146600    0    0     0     0  973 3118 35  9 56  0  0
 2  0  45060  70504  19768 146600    0    0     0     0  976 3045 33 10 57  0  0
 1  0  45060  70504  19768 146600    0    0     0     0 1027 3322 37 11 52  0  0
 3  0  45060  70504  19768 146600   16  320    16   352 1071 3510 37 14 48  1  0
 4  0  45060  70504  19768 146600    0    0     0     0 1048 3466 40  7 53  0  0
 5  0  45060  70504  19768 146600    0    0     0     0 1018 3279 33 10 56  0  0
 1  0  45060  70504  19768 146600    0    0     0     0  987 3120 38  8 54  0  0
MEDIA
NR:  15 CPU:  43
