procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 146440  75572   1968  53668   22   41    45    50  156  340  2  1 97  0  0
 7  0 146440  75572   1968  53668    0    0   312     0 1457 1102 92  8  0  0  0
 2  0 146440  75572   1968  53668    0    0     0     0 1784 2910 87 13  0  0  0
 9  0 146440  75572   1968  53668   12    0    12     0 1660 2604 87 13  0  0  0
 2  0 146440  75572   1968  53668    8    0   464     0 1267 1489 93  7  0  0  0
 7  0 146440  75572   1968  53668    0    0     0    36 1985 4630 80 20  0  0  0
 6  0 146440  75572   1968  53668    0    0     0     0 1218 1426 94  6  0  0  0
 2  0 146440  75572   1968  53668  304  440  6148  1456 1887 3852 84 16  0  0  0
 4  0 146440  75572   1968  53668  120    0   332     0 1600 2961 91  9  0  0  0
 2  0 146440  75572   1968  53668  300    0   300     0 1355 2215 90 10  0  0  0
 5  0 146440  75572   1968  53668    0    0     0    28 1881 4041 80 20  0  0  0
 6  0 146440  75572   1968  53668    0    0   352     0 1105  959 94  6  0  0  0
MEDIA
NR:  14 CPU:  91.9167
