procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  28068  68796  30028 206256    1    3    19     9  115  220  0  0 99  0  0
 1  0  28068  68796  30028 206256    0    0     0    56  124  220  0  0 100  0  0
 1  0  28068  68796  30028 206256    0    0     0     0  118  223  0  0 100  0  0
 1  0  28068  68796  30028 206256    0    0     0     0  109  201  0  0 100  0  0
 1  0  28068  68796  30028 206256    0    0     0     0  131  254  1  0 99  0  0
 1  0  28068  68796  30028 206256    0    0     0     0  106  205  0  0 100  0  0
 1  0  28068  68796  30028 206256    0    0     0    40  131  241  1  1 98  0  0
 1  0  28068  68796  30028 206256    0    0     0    16  120  220  0  0 100  0  0
MEDIA
NR:  10 CPU:  0.375
