    #Muestra numJDBCCount numHTTPCount     numHTTPQ
           0            0            1            0
           1            0            0            0
           2            0            1            0
           3            0            0            0
           4            0            1            0
           5            0            2            0
           6            1            3            0
           7            0            3            0
           8            0            1            0
           9            0            0            2
          10            0            1            0
          11            0            0            0
          12            0            1            0
          13            0            0            0
          14            0            0            0
          15            0            1            0
          16            0            1            0
          17            0            0            0
          18            1            0            0
          19            0            1            0
          20            0            0            0
          21            0            2            0
          22            1            5            0
          23            1            1            1
          24            0            0            0
          25            0            1            0
          26            0            2            0
          27            0            3            0
          28            0            0            0
          29            0            0            2
          30            0            2            1
          31            0            2            0
          32            0            0            0
          33            0            1            0
          34            4            0            1
          35            0            0            0
          36            0            1            0
          37            0            2            0
          38            0            2            3
          39            0            4            0
          40            0            2            0
          41            0            1            0
          42            0            2            0
          43            0            2            0
          44            0            3            0
          45            0            2            0
          46            0            0            1
          47            0            0            0
          48            1            0            0
          49            0            2            0
          50            0            0            0
          51            0            0            2
          52            0            2            0
          53            0            1            0
          54            0            0            0

TOT.MUESTRAS        MEDIA:
          55     0,163636      1,12727     0,236364
