    #Muestra numJDBCCount numHTTPCount     numHTTPQ
           0            2            5           99
           1            2            5           58
           2            0            5           19
           3            2            5           22
           4            1            5            1
           5            3            5            8
           6            2            1            0
           7            1            4            5
           8            0            2            4
           9            1            5            6
          10            0            5           18
          11            0            3            8
          12            1            2            1
          13            1            5           13
          14            0            5           28
          15            1            5            7
          16            0            3           16
          17            2            5           20
          18            1            5            2
          19            1            5           41
          20            1            5            6
          21            0            4            5
          22            1            5            9
          23            0            5           13
          24            1            3            5
          25            0            5            8
          26            0            5            7
          27            0            5           13
          28            1            3            1
          29            1            5            0
          30            0            4            1
          31            1            5           21
          32            0            0            2
          33            0            1            8
          34            1            2            0
          35            0            2            2
          36            0            1            3
          37            0            5           10
          38            1            5            0
          39            1            4            9
          40            0            5           26
          41            1            5            6
          42            2            5          777
          43            2            5          682
          44            1            5          771
          45            0            5          752
          46            0            5          712
          47            1            5          674
          48            0            5          615
          49            1            5          657
          50            0            5          613
          51            1            5          628
          52            2            5          582
          53            1            5          300
          54            1            1            0
          55            0            5           44
          56            1            5           35
          57            2            4           25
          58            3            5            1
          59            0            1            6
          60            0            1            1
          61            2            5            3

TOT.MUESTRAS        MEDIA:
          62     0,822581      4,12903      135,629
